Sender First Name,Sender Last Name,Sender ID Number,Sender ID Type,Sender Date of Birth,Sender Nationality,Sender Country,Sender City,Sender Address,Sender Purpose of Remittance,Sender Relationship,Sender Occupation,Sender Source of Fund,Receiver First Name,Receiver Last Name,Receiver ID Number,Receiver ID Type,Receiver Date of Birth,Receiver Account Number,Receiver Nationality,Receiver City,Receiver Address, Reference ID ,Receiving Amount
XIAO MING,PENG,S9575000J,2,16/8/95,SGP,SGP,Singapore,4 Sago Lane Singapore,1,2,1,1,Max,Chua,231236199995056X,02,2/1/96,6.22203E+11,CHN,BEIJING,Liaoning Province,SMUPWTRX1,1000
ANG KOK LIONG,ROBIN,S7607000O,2,12/2/76,SGP,SGP,Singapore,BLK 204B COMPASSVALE DR,99,99,23,1,John,Tan,3.50521E+15,02,25/1/88,6.22203E+95,CHN,NA,福建省仙游县园庄镇土楼村溪,SMUPWTRX2,200
GEK LENG,SIM,S1294000H,2,22/9/58,SGP,SGP,Singapore,BLK 203 SERANGOON CENTRAL,99,99,15,1,Alan,Lim,4.12922E+15,02,20/5/74,6.22203E+11,CHN,NA,河南省方城县券桥乡王台村窦店,SMUPWTRX3,300
HLA SHWE,TOH,S1988000H,2,10/8/56,SGP,SGP,Singapore,BLK 38 KEPPEL BAY DRIVE ,99,99,23,1,Aaron,Ong,4.45122E+16,02,30/11/76,6.22203E+11,CHN,NA,广东省饶平县浮山镇东官东五寨内,SMUPWTRX4,9000
XIA LIN,ZHAO,G5110000M,2,24/5/87,SGP,SGP,Singapore,319 UPPER EAST COAST RD SINGAPORE ,99,99,23,1,Liang,Wang,3.50102E+17,02,18/9/62,6.22203E+11,CHN,NA,福建省福州市台江区西洋新村8座1幢,SMUPWTRX5,5000
HUAY SHING,SIA,S0180000B,2,3/4/53,SGP,SGP,Singapore,BLK500 SERANGOON NORTH AVE4,99,99,5,1,Ximu,Sima,2.20421E+17,02,6/12/89,6.22203E+11,CHN,NA,吉林省东丰县沙河镇新开村六组,SMUPWTRX6,1800
KHUANG CHAI VINCENCE,CHAN,S1490000C,2,22/2/61,SGP,SGP,Singapore,7 7 WEST COAST WALK #24-14 SPORE ,99,99,5,1,Siqu,Li,2.11021E+17,02,16/8/91,6.22203E+11,CHN,NA,辽宁省鞍山市铁东区千山中路585栋1单元,SMUPWTRX7,8888
GENG MUN VINCENT,LOH,S7110000B,2,26/3/71,SGP,SGP,Singapore,BLK 1C CANTONMENT RD ,99,99,23,1,Zheng,Lin,3.52202E+17,02,16/7/91,6.22203E+11,CHN,NA,福建省福安市湾坞镇浮溪岐坪,SMUPWTRX8,6000
QI CHAO,XIE,G2840000P,2,2/2/90,SGP,SGP,Singapore,180ORCHARDROAD,99,99,23,1,Yang,Guo,4.10901E+17,02,3/8/92,6.22203E+11,CHN,NA,河南省濮阳市华龙区王助乡斬赵寨村,SMUPWTRX9,1000
SENG LEONG,TOH,53310000B,2,4/9/62,SGP,SGP,Singapore,697 HOUGANG ST61 HOUGANG SPRING  ,6,99,5,1,Long,Nv,4.41881E+17,02,11/7/59,6.22203E+11,CHN,NA,英德市浛洸镇光南居委会低龙组,SMUPWTRX10,9000
CHOON HUA,ONG,S6920000D,2,23/7/69,SGP,SGP,Singapore,APT BLK 34 LORONG 5 TOA PAYOH,99,99,23,1,Huo,Chen,2.10219E+17,02,7/12/61,6.22203E+12,CHN,NA,辽宁省瓦房店市阎店乡杨店村小谷屯,SMUPWTRX11,300000
PEI WAH,PERLIN THOR,S1100000C,2,16/5/55,SGP,SGP,Singapore,BLK 656B JURONG WEST STREET 61 ,99,99,99,1,De,Lin,2.11481E+17,02,27/10/81,6.22203E+11,CHN,NA,辽宁省兴城市三道沟乡西门村东沟屯,SMUPWTRX12,600000
