Sender First Name,Sender Last Name,Sender ID Number,Sender ID Type,Sender Date of Birth,Sender Nationality,Sender Country,Sender City,Sender Address,Sender Purpose of Remittance,Sender Relationship,Sender Occupation,Sender Source of Fund,Receiver First Name,Receiver Last Name,Receiver ID Number,Receiver ID Type,Receiver Date of Birth,Receiver Account Number,Receiver Nationality,Receiver City,Receiver Address, Reference ID ,Receiving Amount
XIAO MING,PENG,S9575000J,02,1994-2-2,SGP,SGP,Singapore,4 Sago Lane Singapore,1,02,1,1,Max,Chua,231236199995056X,02,1994-2-2,6.22E+11,CHN,BEIJING,Liaoning Province,SMUPWTRX1,1000
ANG KOK LIONG,ROBIN,S7607000O,1994-2-2,SGP,SGP,Singapore,BLK 204B COMPASSVALE DR,99,99,23,1,John,Tan,3.51E+15,02,1994-2-2,6.22E+95,CHN,NA,Liaoning Province,SMUPWTRX2,200
GEK LENG,SIM,S1294000H,02,1994-2-2,SGP,SGP,Singapore,BLK 203 SERANGOON CENTRAL,99,99,15,1,Alan,Lim,4.13E+15,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX3,300
HLA SHWE,TOH,S1988000H,02,1994-2-2,SGP,SGP,Singapore,BLK 38 KEPPEL BAY DRIVE ,99,99,23,1,Aaron,Ong,4.45E+16,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX4,9000
XIA LIN,ZHAO,G5110000M,02,1994-2-2,SGP,SGP,Singapore,319 UPPER EAST COAST RD SINGAPORE ,99,99,23,1,Liang,Wang,3.50E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX5,5000
HUAY SHING,SIA,S0180000B,02,1994-2-2,SGP,SGP,Singapore,BLK500 SERANGOON NORTH AVE4,99,99,5,1,Ximu,Sima,2.20E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX6,1800
KHUANG CHAI VINCENCE,CHAN,S1490000C,02,1994-2-2,SGP,SGP,Singapore,7 7 WEST COAST WALK #24-14 SPORE ,99,99,5,1,Siqu,Li,2.11E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX7,8888
GENG MUN VINCENT,LOH,S7110000B,02,1994-2-2,SGP,SGP,Singapore,BLK 1C CANTONMENT RD ,99,99,23,1,Zheng,Lin,3.52E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX8,6000
QI CHAO,XIE,G2840000P,02,1994-2-2,SGP,SGP,Singapore,180ORCHARDROAD,99,99,23,1,Yang,Guo,4.11E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX9,1000
SENG LEONG,TOH,53310000B,02,1994-2-2,SGP,SGP,Singapore,697 HOUGANG ST61 HOUGANG SPRING  ,6,99,5,1,Long,Nv,4.42E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX10,9000
CHOON HUA,ONG,S6920000D,02,1994-2-2,SGP,SGP,Singapore,APT BLK 34 LORONG 5 TOA PAYOH,99,99,23,1,Huo,Chen,2.10E+17,02,1994-2-2,6.22E+12,CHN,NA,Liaoning Province,SMUPWTRX11,300000
PEI WAH,PERLIN THOR,S1100000C,02,1994-2-2,SGP,SGP,Singapore,BLK 656B JURONG WEST STREET 61 ,99,99,99,1,De,Lin,2.11E+17,02,1994-2-2,6.22E+11,CHN,NA,Liaoning Province,SMUPWTRX12,600000
